,cross,para,-2-3-,-1-2-,-2-9-,-9-16-,-1-10-,"Dist(2, 3)","Dist(1, 2)","Dist(2, 9)","Dist(9, 16)","Dist(1, 10)",dip_x,dip_y,dip_z,Total,NBO O 1,NBO B 2,NBO C 3,NBO O 9,NBO H 10,NBO H 16,diff O1 B2,diff B2 C3,diff B2 O9,diff O1 H10,diff O9 H16,B1,B5,L,output
Ph,1647.7123,1677.4351,1389.1923,1412.9731,1412.9731,3905.9425,3909.9109,1.561075001,1.368333468,1.36837316,0.959838412,0.959829838,-1.4675,-1.8055,-0.0007,2.3267,-0.89117,1.11947,-0.40531,-0.89114,0.4822,0.48217,2.01064,1.52478,2.01061,1.37337,1.37331,1.72,3.14,6.84,0.575950245
m_F,1658.88,1685.7712,1386.416,1418.8028,1418.8028,3911.2812,3907.0575,1.563500133,1.366560173,1.366564054,0.959872777,0.959942852,-0.0853,3.4937,0.4422,3.5225,-0.88955,1.11964,-0.37929,-0.88996,0.48405,0.48432,2.00919,1.49893,2.0096,1.3736,1.37428,1.72,3.7,6.85,0.90945962
m_Me,1680.7123,1655.0976,1387.5073,1406.7273,1387.5073,3904.0032,3910.2489,1.560033806,1.369258796,1.369284014,0.960067355,0.959736742,0.3237,-0.8535,-1.9015,2.1093,-0.89107,1.12025,-0.3983,-0.89167,0.48154,0.4817,2.01132,1.51855,2.01192,1.37261,1.37337,1.76,4.38,6.83,0.496958903
m_naph,1645.0255,1677.5389,1411.6705,1419.5614,1419.5614,3911.3661,3906.7278,1.560629363,1.368323018,1.368231633,0.959763631,0.959895806,-1.4443,1.894,-0.0017,2.3819,-0.89059,1.11958,-0.40337,-0.89117,0.48263,0.48261,2.01017,1.52295,2.01075,1.37322,1.37378,1.72,4.12,8.96,1.128026414
m_tfm,1662.4858,1687.3992,1427.3384,1427.3384,1427.3384,3911.5069,3906.62,1.564253932,1.365943777,1.365231696,0.959889896,0.96005673,0.9455,-0.0103,-4.7139,4.8078,-0.88983,1.11966,-0.39421,-0.88876,0.48554,0.48585,2.00949,1.51387,2.00842,1.37537,1.37461,1.93,4.91,7,1.758604576
mm_F,1693.6079,1669.703,1423.9431,1423.9431,1416.195,3909.5177,3905.1719,1.566081976,1.364938748,1.364928039,0.959984463,0.95998512,0.6207,0.0076,-4.1121,4.1587,-0.88849,1.12013,-0.35422,-0.88849,0.4862,0.4862,2.00862,1.47435,2.00862,1.37469,1.37469,1.72,3.68,6.85,0.644360365
mm_oMe,1664.2705,1676.3405,1410.3731,1410.3731,1356.0613,3910.8756,1356.0613,1.562838551,1.369239006,1.367281956,0.959740918,0.959836419,-0.3345,0.4667,2.1658,2.2406,-0.89265,1.12212,-0.35995,-0.88914,0.4819,0.48176,2.01477,1.48207,2.01126,1.37455,1.3709,1.89,5.32,7.56,0.684139815
o_F,1649.4968,1686.4872,1384.0798,1421.5905,1421.5905,3902.7398,3910.2234,1.566595611,1.369874247,1.362045863,0.96024771,0.959743829,-0.1041,2.1615,0.4959,2.22,-0.89326,1.11757,-0.46656,-0.87468,0.48381,0.48092,2.01083,1.58413,1.99225,1.37707,1.3556,1.72,3.7,6.86,0.930005401
o_Me,1673.5901,1640.7589,1381.4063,1400.2804,1381.4063,3899.1068,3911.2168,1.566264211,1.371287743,1.369801473,0.960392857,0.959597854,0.479,-0.0147,-2.4647,2.5108,-0.89424,1.11864,-0.4099,-0.89375,0.48122,0.48183,2.01288,1.52854,2.01239,1.37546,1.37558,1.77,4.29,6.84,0.77709801
op_Me,1682.7974,1628.7868,1380.427,1392.7265,1380.427,3911.4155,3900.3615,1.563370444,1.370640047,1.372207954,0.959543554,0.960354723,-0.8911,0.0103,-1.8548,2.0578,-0.89425,1.11821,-0.42214,-0.89469,0.48115,0.48049,2.01246,1.54035,2.0129,1.3754,1.37518,1.87,4.29,7.78,0.742341274
p_F,1659.1494,1678.6101,1390.188,1390.188,1408.8135,3910.4667,3906.4315,1.558977914,1.368081292,1.368063031,0.959810582,0.95984005,0.0105,3.8783,-0.011,3.8783,-0.89142,1.11889,-0.4234,-0.89142,0.48335,0.48335,2.01031,1.54229,2.01031,1.37477,1.37477,1.72,3.14,7.42,0.813092252
p_Me,1685.9538,1633.9771,1390.5301,1405.7226,1390.5301,3906.5402,3910.4422,1.558505887,1.369204406,1.369235192,0.959780929,0.959769848,0.2358,-0.0438,-1.8527,1.8681,-0.89162,1.11911,-0.41711,-0.89163,0.48141,0.48141,2.01073,1.53622,2.01074,1.37303,1.37304,1.82,3.14,7.78,0.510991201
p_MeO,1640.5115,1680.0817,1406.6982,1406.6982,1391.553,3907.6691,3911.5822,1.55455366,1.370420415,1.37013383,0.959725615,0.959683006,-0.2148,-1.3663,1.4664,2.0157,-0.89288,1.11736,-0.44232,-0.89227,0.48086,0.48093,2.01024,1.55968,2.00963,1.37374,1.3732,1.78,3.16,8.9,0.525162514
p_tBu,1626.1836,1684.1376,1391.6329,1408.217,1391.6329,3906.3431,3910.2838,1.558551068,1.369173522,1.369220944,0.959795356,0.959778076,0.1331,-0.0178,-1.9008,1.9056,-0.89139,1.11989,-0.41456,-0.89143,0.48145,0.48146,2.01128,1.53445,2.01132,1.37284,1.37289,2.73,3.22,9.03,0.613483653
p_tfm,1694.5479,1645.9209,1395.1827,1415.7953,1395.1827,3904.4586,3908.6792,1.565385523,1.365695158,1.365733708,0.96001347,0.960020889,1.0422,0.0444,-5.3753,5.4756,-0.88935,1.11965,-0.382,-0.88936,0.48561,0.48563,2.009,1.50165,2.00901,1.37496,1.37499,2.11,3.14,8.14,0.889371283
