,cross,para,-1-2-,-2-3-,-2-9-,-9-16-,-1-10-,-16-36-,-24-25-,"Dist(1, 2)","Dist(2, 3)","Dist(2, 9)","Dist(9, 16)","Dist(1, 10)","Dist(16, 36)","Dist(24, 25)","Dist(10, 36)",dip_x,dip_y,dip_z,Total,NBO O 1,NBO B 2,NBO C 3,NBO O 9,NBO H 10,NBO C 16,NBO O 36,NBO N 24,NBO C 25,diff O1 B2,diff B2 C3,diff B2 O9,diff O1 H10,diff O9 C16,diff C16 O36,diff N24 C25,B1,B5,L,output
Ph,1676.7141,1646.3055,1438.5317,1646.3055,1438.5317,1824.8736,3752.5454,1824.8736,1425.3813,1.344072958,1.554677957,1.413283851,1.340569354,0.969373173,1.204677563,1.383837304,1.917302394,1.1342,0.5747,-1.603,2.0461,-0.44806,0.57046,-0.20222,-0.36703,0.25919,0.41941,-0.29924,-0.20677,0.09762,1.01852,0.77268,0.93749,0.70725,0.78644,0.71865,0.30439,1.7,3.19,6.83,0.872156273
m_F,1683.7322,1657.8183,1443.4376,1480.0421,1443.4376,1827.6105,3748.9196,1827.6105,1424.8469,1.342885687,1.557688816,1.410299917,1.342511449,0.96952588,1.204075301,1.384298345,1.921178293,2.7603,0.829,-2.3392,3.7119,-0.44666,0.5716,-0.18925,-0.36723,0.2596,0.41938,-0.2982,-0.20683,0.09728,1.01826,0.76085,0.93883,0.70626,0.78661,0.71758,0.30411,1.7,3.74,6.84,1.071882007
m_Me,1653.1615,1678.2044,1442.0597,1459.4881,1442.0597,1824.0479,3749.7281,1824.0479,1425.7329,1.344375908,1.554353431,1.413797208,1.339992862,0.969355502,1.204827175,1.383747662,1.917567168,0.8156,0.5407,-1.3579,1.6737,-0.4483,0.57087,-0.19852,-0.36684,0.25897,0.41943,-0.29959,-0.20676,0.09775,1.01917,0.76939,0.93771,0.70727,0.78627,0.71902,0.30451,1.76,4.42,6.82,0.809559715
m_naph,1676.1832,1706.9479,1439.9951,1644.1204,1439.9951,1824.8624,3753.9104,1824.8624,1424.4243,1.34430774,1.554237823,1.413148815,1.340847313,0.969283214,1.204555286,1.38404781,1.919540774,1.0246,0.7235,-1.3386,1.8344,-0.452,0.57293,-0.18401,-0.37062,0.26002,0.42018,-0.29947,-0.20683,0.09729,1.02493,0.75694,0.94355,0.71202,0.7908,0.71965,0.30412,1.7,4.44,8.93,1.049218023
m_tfm,1662.355,1686.1906,1449.7991,1484.7938,1449.7991,1829.8596,3749.965,1829.8596,1423.9331,1.342163024,1.55840014,1.409171896,1.34383588,0.969580281,1.20359528,1.38448311,1.924614967,4.3361,0.903,-2.6239,5.148,-0.44624,0.57089,-0.19642,-0.36778,0.26009,0.41942,-0.2972,-0.20686,0.09692,1.01713,0.76731,0.93867,0.70633,0.7872,0.71662,0.30378,1.93,4.94,6.96,1.460897843
mm_F,1692.8036,1668.8748,1446.2491,1492.8666,1446.2491,1829.5526,3750.4662,1829.5526,1423.4965,1.341676404,1.560524772,1.407618348,1.344524664,0.96978618,1.20357082,1.385151846,1.923325055,2.9336,-0.1022,-1.528,3.3092,-0.44596,0.57214,-0.17632,-0.36746,0.26025,0.41949,-0.29739,-0.207,0.09661,1.0181,0.74846,0.9396,0.70621,0.78695,0.71688,0.30361,1.7,3.72,6.84,0.946943271
mm_oMe,1663.9784,1674.1644,1385.208,1439.2032,1439.2032,1823.3855,3747.7783,1823.3855,1425.4363,1.344469657,1.556478912,1.411998387,1.340129517,0.969576705,1.204944231,1.384356083,1.916087329,-0.2447,0.3752,0.8151,0.9301,-0.44896,0.57227,-0.17868,-0.36641,0.25917,0.41973,-0.29988,-0.20688,0.0977,1.02123,0.75095,0.93868,0.70813,0.78614,0.71961,0.30458,1.89,5.36,7.58,0.854306042
o_F,1687.0717,1647.7255,1444.8156,1647.7255,1444.8156,1826.8501,3748.3188,1826.8501,1425.586,1.338836595,1.560637463,1.414534895,1.341233572,0.969726753,1.204182929,1.383942641,1.914482881,1.3433,1.768,-2.3703,3.2478,-0.43916,0.56752,-0.23221,-0.36716,0.25773,0.41913,-0.2966,-0.20669,0.09732,1.00668,0.79973,0.93468,0.69689,0.78629,0.71573,0.30401,1.7,3.7,6.85,1.225438517
o_Me,1673.6755,1639.2993,1430.2535,1639.2993,1430.2535,1819.8242,3723.9106,1819.8242,1424.7966,1.344895329,1.558946321,1.417909157,1.338357936,0.970716716,1.205619168,1.383816236,1.886370922,1.2121,0.5449,-1.2389,1.8169,-0.45357,0.56903,-0.20591,-0.36597,0.26123,0.4197,-0.30043,-0.20681,0.09754,1.0226,0.77494,0.935,0.7148,0.78567,0.72013,0.30435,1.74,4.31,6.83,0.829303773
op_Me,1681.3175,1627.1706,1409.6789,1627.1706,1409.6789,1818.443,3722.8371,1818.443,1427.1159,1.345583,1.555864327,1.419440578,1.337434425,0.970641608,1.205869539,1.383462461,1.886136013,0.7166,0.8367,-1.3878,1.7719,-0.4508,0.56937,-0.21084,-0.36717,0.25977,0.42001,-0.30118,-0.20679,0.09792,1.02017,0.78021,0.93654,0.71057,0.78718,0.72119,0.30471,1.86,4.31,7.77,0.774516966
p_F,1677.0976,1657.7234,1430.6759,1657.7234,1455.8974,1826.1557,3749.259,1826.1557,1424.2545,1.344179886,1.552779067,1.412470682,1.341452964,0.969418742,1.204349036,1.384087266,1.920150923,2.466,-0.0291,-1.5968,2.938,-0.44794,0.57098,-0.2113,-0.36724,0.25942,0.4193,-0.29882,-0.20682,0.09728,1.01892,0.78228,0.93822,0.70736,0.78654,0.71812,0.3041,1.7,3.18,7.41,0.875061263
p_Me,1684.0944,1632.5884,1429.8246,1632.5884,1451.7895,1823.4842,3750.5998,1823.4842,1424.8708,1.344712573,1.551972762,1.414568721,1.339646827,0.969257054,1.204866716,1.38368079,1.919283496,0.548,0.9758,-1.6348,1.9812,-0.44817,0.57091,-0.20843,-0.36676,0.2588,0.41926,-0.29966,-0.20674,0.0978,1.01908,0.77934,0.93767,0.70697,0.78602,0.71892,0.30454,1.82,3.18,7.77,0.815577748
p_MeO,1677.6754,1636.9313,1431.0272,1636.9313,1431.0272,1822.2061,3754.006,1822.2061,1425.0437,1.345907552,1.547566179,1.415836069,1.33888537,0.969134681,1.205105281,1.383585894,1.918988506,-0.2576,0.3168,-0.8001,0.8983,-0.44903,0.56975,-0.22109,-0.36662,0.25863,0.41922,-0.30014,-0.20674,0.09782,1.01878,0.79084,0.93637,0.70766,0.78584,0.71936,0.30456,1.78,3.2,8.88,0.748188027
p_tBu,1683.4881,1625.0842,1453.3785,1625.0842,1453.3785,1823.8781,3754.2302,1823.8781,1425.3846,1.344666371,1.551938435,1.414590657,1.339639556,0.969254749,1.204886306,1.383671558,1.918277883,0.4323,1.07,-1.5706,1.949,-0.4483,0.57074,-0.2072,-0.36659,0.25893,0.41936,-0.29959,-0.20673,0.09783,1.01904,0.77794,0.93733,0.70723,0.78595,0.71895,0.30456,2.76,3.19,9,0.841984805
p_tfm,1694.8577,1645.1791,1432.2691,1645.1791,1432.2691,1829.4582,3748.4609,1829.4582,1423.8337,1.342385769,1.559648407,1.408747044,1.344048325,0.969715348,1.203681963,1.384826719,1.920985476,4.0055,-0.3435,-1.5643,4.3139,-0.44675,0.57101,-0.19067,-0.36756,0.26021,0.41952,-0.29756,-0.20694,0.09675,1.01776,0.76168,0.93857,0.70696,0.78708,0.71708,0.30369,2.11,3.18,8.12,1.100370545
